Term_ID,Term,Short_Form,Category,Short_Definition,Extended_Definition,Why_It_Matters_For_PRO,Synonyms_And_Related_Terms,Example_In_Context,Source
1,Time to Deterioration,TTD,Statistical method,Time from randomisation to first PRO score worsening meeting a predefined threshold.,"TTD is a time-to-event endpoint measuring the interval from randomisation to the first observed decline in a patient-reported outcome score that meets or exceeds a predefined clinically meaningful threshold, typically the MID. It is analysed using Kaplan-Meier estimation and Cox proportional hazards regression, with patients who do not deteriorate, withdraw, or die censored at last assessment. TTD is sensitive to threshold choice, assessment schedule, and censoring rules — all of which must be pre-specified in the statistical analysis plan. FDA and EMA increasingly require TTD alongside survival endpoints to capture the patient's symptomatic experience of treatment. In multiple myeloma trials, TTD is commonly applied to pain, fatigue, and global health status using EORTC QLQ-C30 or FACT-MM.","TTD directly operationalises continuous PRO data as a formal, testable endpoint, enabling regulatory labelling claims about symptom preservation or delay of worsening. Its statistical and methodological choices (threshold, censoring, instrument) require explicit justification in submissions.",Time to PRO deterioration | Time to symptom deterioration | Time to health status deterioration | Time to first deterioration | Time to worsening | TTD | TDD | Time to HRQoL deterioration | Symptom deterioration endpoint,"The experimental arm demonstrated a statistically significant improvement in TTD for global health status (HR 0.68, 95% CI 0.54–0.86, p=0.001) compared with standard of care, and this finding was included in the product label.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Kluetz PG et al. 2016 (Clin Cancer Res)
2,Time to Definitive Deterioration,TTDD,Statistical method,"Time to confirmed, sustained PRO worsening not followed by recovery above the deterioration threshold.","TTDD is a more stringent variant of TTD requiring that the observed deterioration be confirmed at one or more subsequent scheduled assessments and not subsequently recovered above the threshold. This confirmation requirement filters out transient symptom fluctuations and measurement noise, producing a more robust and reproducible endpoint. TTDD is analysed using the same survival analysis framework as TTD, but the event definition incorporates a confirmation window (e.g., two consecutive post-deterioration assessments below threshold). EMA has expressed preference for TTDD over TTD in oncology PRO analyses precisely because it distinguishes persistent from temporary worsening. In myeloma studies, TTDD is commonly applied to global health status, fatigue, and pain subscales of the EORTC QLQ-C30.","TTDD is a more conservative and regulatorily defensible PRO endpoint than TTD, reducing false events that would bias time-to-event estimates. EMA reviewers increasingly expect TTDD as the primary or co-primary PRO endpoint in confirmatory oncology submissions.",Definitive deterioration | Confirmed deterioration | Sustained deterioration | Confirmed TTD | Time to confirmed worsening | Time to irreversible deterioration | TTDD | Persistent deterioration endpoint | Confirmed PRO worsening,"TTDD was defined as a ≥10-point decline in EORTC QLQ-C30 global health status confirmed at two consecutive assessments, with a median TTDD of 12.4 months in the control arm versus not reached in the experimental arm (HR 0.61, p=0.004).",EMA Reflection Paper on Methodological Issues in PRO Endpoints in Oncology [GUIDANCE] | Coens C et al. 2020 (Lancet Oncol)
3,Time to Improvement,TTI,Statistical method,Time from randomisation to first PRO score improvement meeting a predefined meaningful threshold.,"TTI measures the interval from baseline to the first occasion a patient's PRO score improves by at least the MID or another pre-specified threshold, analysed using Kaplan-Meier and Cox proportional hazards methods. Patients who never achieve the improvement threshold are censored at their last observation. TTI is used to characterise the speed and probability of onset of patient-perceived benefit from treatment, complementing TTD by defining the other temporal boundary of the patient experience arc. It is particularly relevant in symptom-burden-heavy diseases such as multiple myeloma, where early pain or fatigue relief is a meaningful and differentiating clinical goal. Sensitivity analyses typically vary the improvement threshold and censoring assumptions.","TTI captures treatment benefit onset from the patient's perspective, which is distinct from clinical response endpoints and directly supports labelling language about early symptomatic relief. In MM, rapid TTI for pain or fatigue can differentiate regimens with similar PFS profiles.",Time to PRO improvement | Time to symptom improvement | Time to first improvement | Time to meaningful improvement | Time to HRQoL improvement | TTI | Onset of symptomatic benefit | Time to patient-reported response,"Median TTI for pain intensity was 6.1 weeks (95% CI 4.3–8.2) in the daratumumab-based regimen, significantly shorter than the 14.5 weeks observed in the comparator arm (HR 0.55, 95% CI 0.42–0.72, p<0.001).",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Common usage in regulatory literature
4,Hazard Ratio,HR,Statistical method,Ratio of event hazard rates between treatment and control groups over study follow-up.,"The hazard ratio is the primary summary statistic from Cox proportional hazards regression, representing the ratio of the instantaneous rate of an event (e.g., PRO deterioration) in the treatment group relative to the control group at any given moment. An HR < 1 favours the treatment group (lower event rate); HR > 1 favours control; HR = 1 indicates equivalence. The proportional hazards assumption — that the HR remains constant over time — must be verified, as it can be violated in settings with delayed treatment effects or crossing survival curves. The HR is always reported with 95% confidence intervals and a p-value to convey statistical precision and significance. In PRO time-to-event analyses (TTD, TTDD, TTI), the HR quantifies how much a treatment reduces or increases the rate of symptom worsening or improvement.",HR is the primary effect measure for all PRO time-to-event endpoints; its point estimate and CI directly determine whether a PRO-based labelling claim is statistically supportable and clinically informative. An AI agent must pair HR interpretation with proportional hazards verification and CI width assessment.,HR | Hazard ratio | Cox HR | Relative hazard | Event rate ratio | Instantaneous risk ratio | Cox regression output | Exponentiated beta coefficient | Risk ratio (time-to-event),"The hazard ratio for time to deterioration in global health status was 0.72 (95% CI 0.58–0.89, p=0.003), indicating a 28% reduction in the risk of PRO deterioration with the experimental regimen.",ICH E9 Statistical Principles for Clinical Trials [GUIDANCE] | FDA Statistical Guidance on Clinical Trial Endpoints [GUIDANCE]
5,Minimum Important Difference,MID,PRO methodology,Smallest PRO score change considered meaningful to patients in a given clinical context.,"The MID (also termed MCID) is the smallest difference in a PRO instrument score that patients perceive as noticeable and which would reasonably prompt a change in clinical management or patient decision-making. It is estimated using anchor-based methods — correlating PRO change scores with an external meaningful anchor such as a patient global impression of change rating — and/or distribution-based methods such as 0.5 SD or 1 standard error of measurement (SEM) of the baseline score. Regulatory agencies, including FDA, prefer anchor-based MIDs because they ground the threshold in patient perception rather than statistical distribution. The MID is instrument-specific, population-specific, and may differ for improvement versus deterioration directions. In multiple myeloma, MIDs have been established for EORTC QLQ-C30 (e.g., 10 points for global health status), FACT-MM, and BPI.","The MID is the conceptual anchor of all threshold-based PRO endpoints: it defines what counts as a TTD event, who qualifies as a responder, and whether a mean treatment difference is clinically meaningful. Without a validated, population-appropriate MID, PRO-based labelling claims are unlikely to be accepted by regulators.",MID | MCID | Minimal clinically important difference | Minimal important difference | Clinically important difference | CID | Meaningful change threshold | Responder threshold | MID threshold | Within-patient meaningful change threshold | PRO threshold | Anchor-based MID | Distribution-based MID,"A 10-point change on the EORTC QLQ-C30 global health status scale was used as the MID-based threshold to define deterioration events in the primary TTD analysis, per published anchor-based estimates in myeloma populations.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Revicki DA et al. 2008 (Health Qual Life Outcomes) | Cocks K et al. 2011 (Eur J Cancer)
6,Mixed Model for Repeated Measures,MMRM,Statistical method,Likelihood-based longitudinal model analysing all PRO timepoints while handling missing data without imputation.,"MMRM is a likelihood-based mixed-effects regression model applied to longitudinal PRO data that simultaneously estimates treatment effects across all scheduled assessment visits while accounting for within-patient correlation over time. It uses all available observed data from each patient — including those with incomplete follow-up — under the missing at random (MAR) assumption, without requiring explicit imputation of missing values. The model typically specifies fixed effects for treatment arm, visit, treatment-by-visit interaction, and baseline PRO score as a covariate, combined with an unstructured or structured residual covariance matrix for the repeated measures. MMRM produces least-squares mean estimates and treatment differences at each timepoint, along with tests of overall treatment effect across visits. FDA and EMA consider MMRM the preferred primary analysis for continuous PRO outcomes in confirmatory oncology trials.","MMRM is the regulatory gold standard for analysing continuous PRO trajectories over time, producing unbiased estimates under MAR and capturing the full longitudinal patient experience. It directly supports labelling claims about sustained HRQoL benefit or preservation across treatment duration.",MMRM | Mixed model repeated measures | Mixed effects model for repeated measures | Linear mixed model | LMM | Longitudinal mixed model | REML model | Mixed model analysis | Repeated measures ANCOVA | MMRM analysis,"The primary MMRM analysis demonstrated a statistically significant least-squares mean treatment difference of 5.3 points (95% CI 2.1–8.5, p=0.002) in EORTC QLQ-C30 global health status at week 24, with treatment arm, visit, treatment-by-visit interaction, and baseline score as model terms.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Mallinckrodt CH et al. 2008 (J Biopharm Stat) | NRC Report on Missing Data in Clinical Trials (2010) [GUIDANCE]
7,Last Observation Carried Forward,LOCF,Statistical method,Missing data imputation substituting a patient's last observed PRO value for all subsequent missing assessments.,"LOCF is a single imputation strategy in which the last recorded PRO score for each patient is substituted for all subsequent missing timepoints, treating it as if no change occurred after dropout. It was historically common in clinical trials due to simplicity and ease of regulatory acceptance, but it is now recognised as problematic because it can introduce systematic bias. In progressive diseases like multiple myeloma, where patients who deteriorate are more likely to drop out, LOCF carries forward a relatively good score for patients who subsequently worsened, artificially inflating treatment benefit estimates. FDA guidance explicitly discourages LOCF as a primary analysis method for PRO data, recommending model-based approaches (MMRM) or multiple imputation instead. LOCF retains a role in pre-specified sensitivity analyses with appropriate justification.",LOCF can systematically bias PRO treatment effect estimates in oncology by underestimating the degree of symptom worsening in patients who drop out — a critical concern for regulatory credibility of PRO labelling claims. An AI agent should flag LOCF as primary analysis and flag whether dropout patterns are informative.,"LOCF | Last observation carried forward | Last value carried forward | LVCF | Single imputation | Carry-forward imputation | Last value imputation | Baseline observation carried forward (BOCF, related) | Single imputation method","Sensitivity analyses using LOCF showed attenuated treatment differences compared with the primary MMRM analysis, consistent with the expectation that LOCF underestimates deterioration in patients who discontinued due to progressive disease.",FDA Guidance for Industry: Missing Data in Clinical Trials (2019) [GUIDANCE] | NRC Report on Prevention and Treatment of Missing Data in Clinical Studies (2010) [GUIDANCE]
8,Responder Analysis,None,PRO methodology,Categorical analysis classifying patients as PRO responders or non-responders based on MID-threshold score change.,"Responder analysis converts continuous PRO score changes into binary or ordinal categories — typically improvement, stability, and deterioration — by applying a predefined MID-based threshold to each patient's change from baseline. This approach enhances clinical interpretability by communicating the proportion of patients who experienced a meaningful benefit, rather than reporting only mean score differences that can be difficult for clinicians and patients to interpret. Results are presented as proportions with confidence intervals, odds ratios, or risk differences, and may be visualised using cumulative distribution function (CDF) plots across the full spectrum of score changes. FDA guidance recommends responder analyses as a complement to continuous MMRM analyses to support labelling language about meaningful symptom benefit. Sensitivity analyses should explore multiple thresholds to assess robustness.","Responder analysis translates PRO data into clinically communicable proportions, directly enabling labelling language such as ""X% of patients reported meaningful improvement in symptoms."" It is the key bridge between statistical PRO results and patient-facing benefit claims in regulatory submissions.",Responder analysis | Categorical analysis | MID-based responder analysis | Clinical responder analysis | Binary responder analysis | Threshold-based analysis | Proportion responding | CDF plot | Cumulative distribution function analysis | Patient-level response analysis | Response rate (PRO),"Responder analysis showed that 61% of patients in the experimental arm achieved a ≥10-point improvement in EORTC QLQ-C30 global health status at week 16, compared with 38% in the control arm (OR 2.55, 95% CI 1.74–3.73, p<0.001).",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Cella D et al. 2002 (J Clin Oncol) | Revicki DA et al. 2006 (Pharmacoeconomics)
9,Clinically Meaningful Change,CMC,PRO methodology,PRO score change that exceeds the MID and is perceptible and practically significant to patients or clinicians.,"Clinically meaningful change refers to a difference in PRO score that exceeds the validated MID threshold and therefore represents a change that patients would notice, that has practical implications for well-being or clinical management, and that is not merely a statistical artefact. It is conceptually distinct from statistical significance: a change can be statistically significant in a large trial yet fall below the MID and thus lack clinical meaningfulness — and vice versa in small samples. The concept applies both at the individual patient level (did this patient's score change meaningfully?) and the group level (did the treatment produce a meaningful average difference?). Regulatory agencies require sponsors to contextualise PRO findings in terms of clinical meaningfulness before granting labelling claims, typically by anchoring results to validated MIDs. In multiple myeloma submissions, clinical meaningfulness is assessed for instruments including EORTC QLQ-C30, FACT-MM, and BPI-SF.","Demonstrating clinical meaningfulness — not merely statistical significance — is a prerequisite for PRO-based labelling claims. An AI agent must distinguish statistically significant but clinically trivial PRO differences from genuinely meaningful changes, particularly in large trials where small effects achieve significance.",Clinically meaningful change | Clinical meaningfulness | Clinically significant change | Meaningful change | Patient-meaningful change | Clinically important change | Substantial symptomatic benefit | Within-patient meaningful change | MID-exceeding change | PRO clinical significance,"Although the treatment arm showed a statistically significant mean improvement of 3.2 points on the fatigue subscale (p=0.03), this fell below the 10-point MID threshold and was therefore not characterised as clinically meaningful in the regulatory submission.",FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Revicki DA et al. 2008 (Health Qual Life Outcomes) | Jaeschke R et al. 1989 (Control Clin Trials)
10,Effect Size,ES,Statistical method,"Standardised, scale-free measure of the magnitude of difference between two groups.","Effect size quantifies the practical magnitude of a treatment difference in standardised units independent of sample size, enabling comparisons across instruments and studies. Common metrics in PRO research include Cohen's d (mean difference divided by pooled SD), Glass's delta (divided by control SD), Hedges' g (bias-corrected d), and the standardised response mean (SRM, mean change divided by SD of change). By convention, effect sizes of 0.2, 0.5, and 0.8 are considered small, medium, and large respectively, though these benchmarks require contextualisation with instrument-specific MIDs. Distribution-based MID estimation frequently uses 0.5 SD or 1 SEM as approximations, directly linking effect size metrics to MID derivation. Effect sizes facilitate cross-trial synthesis and meta-analysis of PRO data across heterogeneous instruments.","Effect size allows an AI agent to benchmark PRO treatment differences against conventions and across studies using different instruments, supporting cross-trial comparison and meta-analysis. It is especially valuable when comparing MM trials that use different PRO instruments with different scale ranges.",Effect size | Cohen's d | Standardised mean difference | SMD | Glass's delta | Hedges' g | Standardised response mean | SRM | d-statistic | PRO effect magnitude | Normalised treatment difference,"The treatment effect on EORTC QLQ-C30 physical functioning corresponded to Cohen's d = 0.48, indicating a medium effect size that approached but did not exceed the distribution-based MID approximation of 0.5 SD.",Cohen J 1988 (Statistical Power Analysis for the Behavioral Sciences) | Wyrwich KW et al. 1999 (J Clin Epidemiol) | Norman GR et al. 2003 (Med Care)
