DD_ID,Column_Name,Sheet,Column_Type,Controlled_Values,Definition,Null_Handling,Example,Notes
1,Drug_ID,Sheet 1 — Drugs,ID/Key,See Definition,Unique identifier for the therapeutic agent within the knowledge graph. Generated sequentially to ensure entity resolution.,Leave blank,DRUG_001,Primary key for joining with Trial and Regulatory sheets.
2,Generic_Name,Sheet 1 — Drugs,Free text,See Definition,The non-proprietary international name of the drug substance. Populated using INN or USAN standards.,Not reported,Pembrolizumab,None
3,FDA_Brand_Name,Sheet 1 — Drugs,Free text,See Definition,The proprietary name(s) approved by the FDA. Includes all brand names if multiple trade names exist for different indications.,N/A if not FDA approved,Keytruda,None
4,EMA_Brand_Name,Sheet 1 — Drugs,Free text,See Definition,The proprietary name(s) approved by the EMA. Captures differences in naming compared to the US market.,N/A if not EMA approved,Keytruda,None
5,Primary_Disease_Area,Sheet 1 — Drugs,Free text,See Definition,The high-level oncology therapeutic area or cancer type the drug is primarily indicated for.,Not reported,Multiple Myeloma,None
6,Disease_Classification,Sheet 1 — Drugs,Controlled vocabulary,Haematological malignancy | Solid tumour | Both | Non-malignant condition,"Categorizes the drug based on the nature of approved indications. ""Both"" implies approval for both liquid and solid tumors.",Not reported,Solid tumour,Both requires [VERIFY] for specific indications.
7,Drug_Class,Sheet 1 — Drugs,Free text,See Definition,The pharmacological or chemical class of the drug. Populated based on mechanism or structural category.,Not reported,PD-1 inhibitor,None
8,Formulation,Sheet 1 — Drugs,Controlled vocabulary,Oral | IV | SC | SC/IV | IM | Other,The physical form and route of administration. Populated based on the approved prescribing information.,Not reported,IV,None
9,Is_MM_Drug,Sheet 1 — Drugs,Boolean,Yes | No | Not reported,Indicates if the drug is specifically used or approved for the treatment of Multiple Myeloma.,Not reported,Yes,None
10,MOA,Sheet 1 — Drugs,Free text,See Definition,Full mechanism of action description. Populated from official regulatory labels or primary literature.,Not reported,Pembrolizumab is a monoclonal antibody that blocks the interaction between PD-1 and its ligands.,None
11,MOA_Summary,Sheet 1 — Drugs,Free text,See Definition,One-sentence condensed version of the mechanism of action for rapid KG indexing.,Not reported,PD-1 blocking monoclonal antibody.,None
12,Boxed_Warning_Summary,Sheet 1 — Drugs,Free text,See Definition,"Summary of FDA Boxed Warnings or equivalent EMA precautions. Enter ""None"" if no boxed warning exists.",Not reported,Immune-mediated adverse reactions.,None
13,Key_Toxicities,Sheet 1 — Drugs,Pipe-delimited list,See Definition; multiple values are separated by pipes,List of common or serious adverse events with frequency if reported.,Not reported,Fatigue (41%) | Nausea (30%),None
14,Indication_Stage_Setting_FDA,Sheet 1 — Drugs,Pipe-delimited list,See Definition; multiple values are separated by pipes,"Specific line of therapy, stage, and clinical setting for FDA-approved indications.",N/A if not FDA approved,First-line | Metastatic,None
